price,latitude,longitude,bedrooms,minimum_nights,maximum_nights,number_of_reviews,reviews_per_month,availability_365,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,neighbourhood_group_cleansed_Bronx,neighbourhood_group_cleansed_Brooklyn,neighbourhood_group_cleansed_Manhattan,neighbourhood_group_cleansed_Queens,neighbourhood_group_cleansed_Staten Island
110.0,40.76132731415076,-73.92675776430373,0.0,30.0,60.0,9.0,0.96,363,5.0,4.89,5.0,5.0,5.0,1,0,0,0,0,0,0,1,0
,40.85999,-73.9285,1.0,30.0,1125.0,5.0,0.05,0,4.0,4.0,4.2,4.2,3.8,1,0,0,0,0,0,1,0,0
,40.68834,-73.98601,1.0,30.0,1125.0,0.0,,0,,,,,,0,0,1,0,0,1,0,0,0
,40.70149,-73.98886,1.0,30.0,1125.0,0.0,,0,,,,,,0,0,1,0,0,1,0,0,0
,40.74901,-73.93898,,30.0,1125.0,1.0,0.02,0,2.0,5.0,3.0,2.804799999999999,4.0,0,0,1,0,0,0,0,1,0
,40.80484866897029,-73.94918298019662,1.0,30.0,180.0,0.0,,189,,,,,,0,0,1,0,0,0,1,0,0
55.0,40.591513400000004,-74.0345298,1.0,30.0,365.0,0.0,,269,,,,,,0,0,1,0,0,0,0,0,1
99.0,40.591513400000004,-73.95929,1.0,30.0,180.0,77.0,0.73,365,4.73,4.66,4.82,4.84,4.63,1,0,0,0,0,1,0,0,0
152.0,40.8687166,-73.8456871936835,1.0,30.0,365.0,0.0,,364,,,,,,0,0,1,0,1,0,0,0,0
500.0,40.8666145,-73.85497769999999,1.0,30.0,365.0,0.0,,365,,,,,,0,0,1,0,1,0,0,0,0
54.0,40.76183706082771,-73.82133597096276,1.0,30.0,365.0,0.0,,270,,,,,,0,0,1,0,0,0,0,1,0
321.0,40.82542,-73.94845,2.0,3.0,365.0,6.0,2.54,240,5.0,4.67,4.83,5.0,4.5,1,0,0,0,0,0,1,0,0
36.0,40.75656,-73.83507,1.0,30.0,1125.0,0.0,,55,,,,,,0,0,1,0,0,0,0,1,0
120.0,40.81113098561469,-73.9237869565086,1.0,4.0,28.0,98.0,0.93,303,4.63,4.58,4.85,4.78,4.63,0,0,1,0,1,0,0,0,0
50.0,40.7786378,-73.9072683,1.0,30.0,365.0,20.0,1.03,0,4.85,4.55,5.0,5.0,4.9,0,0,1,0,0,0,0,1,0
57.0,40.7139,-73.83523,1.0,30.0,1125.0,36.0,0.45,365,4.61,4.78,4.86,4.78,4.94,0,0,1,0,0,0,0,1,0
96.0,40.59414,-73.79372,2.0,30.0,1125.0,23.0,0.97,298,4.61,4.74,4.7,4.74,4.22,1,0,0,0,0,0,0,1,0
156.0,40.72297641345533,-73.81387778954078,3.0,30.0,365.0,3.0,0.4,363,5.0,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,1,0
98.0,40.8687166,-73.84146,2.0,30.0,1125.0,56.0,1.69,365,4.86,4.88,4.93,4.95,4.75,0,0,1,0,1,0,0,0,0
236.0,40.7056,-74.00878,1.0,31.0,1125.0,0.0,,333,,,,,,1,0,0,0,0,0,1,0,0
100.0,40.82405,-73.94,1.0,90.0,365.0,0.0,,358,,,,,,1,0,0,0,0,0,1,0,0
75.0,40.77174,-73.91297,1.0,30.0,365.0,0.0,,216,,,,,,1,0,0,0,0,0,0,1,0
199.0,40.7583396212706,-73.88312516931735,3.0,30.0,365.0,22.0,2.01,312,5.0,5.0,5.0,5.0,4.82,1,0,0,0,0,0,0,1,0
148.0,40.735166335899336,-73.89422662713137,3.0,30.0,120.0,6.0,0.94,362,4.67,4.17,4.83,5.0,4.83,1,0,0,0,0,0,0,1,0
79.0,40.82255880611779,-73.9138516880504,4.0,30.0,365.0,1.0,0.16,180,4.0,5.0,5.0,5.0,4.0,0,0,1,0,1,0,0,0,0
150.0,40.7492,-73.89342,2.0,30.0,1125.0,3.0,0.11,310,3.67,3.67,3.67,3.67,3.67,1,0,0,0,0,0,0,1,0
150.0,40.7534854,-73.8970688,3.0,30.0,365.0,2.0,0.13,365,4.0,3.0,4.5,5.0,4.5,1,0,0,0,0,0,0,1,0
70.0,40.64689,-73.89215,1.0,30.0,30.0,143.0,2.61,59,4.91,4.97,4.97,4.99,4.71,1,0,0,0,0,1,0,0,0
171.0,40.75241998096983,-73.89364790120311,1.0,30.0,365.0,8.0,0.94,90,4.25,4.13,4.88,5.0,4.63,1,0,0,0,0,0,0,1,0
180.0,40.6420662,-73.9006057,3.0,30.0,1125.0,9.0,1.53,364,5.0,4.89,4.89,4.89,4.78,1,0,0,0,0,1,0,0,0
300.0,40.75661393711509,-73.89692863237146,3.0,30.0,365.0,19.0,1.32,365,4.74,4.74,4.79,4.84,4.79,1,0,0,0,0,0,0,1,0
169.0,40.63503,-73.89428,1.0,2.0,365.0,35.0,2.95,281,4.86,4.94,4.94,5.0,4.8,1,0,0,0,0,1,0,0,0
264.0,40.7568116921765,-73.89757485501708,2.0,30.0,365.0,13.0,0.66,0,4.54,3.92,4.69,4.92,4.15,1,0,0,0,0,0,0,1,0
104.0,40.64677,-73.89516,2.0,30.0,365.0,0.0,,270,,,,,,1,0,0,0,0,1,0,0,0
239.0,40.759478748567695,-73.86870258140218,3.0,30.0,30.0,32.0,3.01,90,4.81,4.81,4.81,4.84,4.59,1,0,0,0,0,0,0,1,0
79.0,40.761593749980825,-73.86852769139779,1.0,30.0,365.0,0.0,,269,,,,,,1,0,0,0,0,0,0,1,0
225.0,40.66864,-73.99188,3.0,3.0,50.0,130.0,1.45,11,4.96,4.95,4.93,4.95,4.92,0,0,1,0,0,1,0,0,0
232.0,40.69597,-73.9947,2.0,30.0,365.0,0.0,,109,,,,,,1,0,0,0,0,1,0,0,0
50.0,40.64905,-73.92848,1.0,30.0,360.0,27.0,0.43,248,4.81,4.81,4.93,4.85,4.7,0,0,1,0,0,1,0,0,0
300.0,40.69942206736262,-73.98471948744731,1.0,2.0,25.0,33.0,1.13,155,4.97,5.0,5.0,5.0,4.88,0,0,1,0,0,1,0,0,0
48.0,40.63841,-73.91589,1.0,30.0,60.0,93.0,0.87,364,4.85,4.83,4.96,4.97,4.47,0,0,1,0,0,1,0,0,0
49.0,40.68366114633229,-73.98926403354186,1.0,30.0,365.0,0.0,,364,,,,,,0,0,1,0,0,1,0,0,0
40.0,40.803539349802456,-73.96644322407086,1.0,30.0,365.0,0.0,,248,,,,,,0,0,1,0,0,0,1,0,0
32.0,40.62478,-73.92881,1.0,30.0,65.0,18.0,0.58,93,4.33,4.39,4.72,4.72,4.56,0,0,1,0,0,1,0,0,0
90.0,40.65696,-73.7545137,1.0,2.0,30.0,14.0,0.32,361,4.79,4.93,5.0,5.0,4.93,1,0,0,0,0,0,0,1,0
169.0,40.64565,-73.89302,3.0,30.0,1125.0,84.0,2.17,179,4.76,4.82,4.88,4.86,4.54,1,0,0,0,0,1,0,0,0
122.0,40.6449,-73.88996,2.0,30.0,1125.0,5.0,0.35,337,5.0,5.0,5.0,5.0,5.0,1,0,0,0,0,1,0,0,0
229.0,40.64664958758525,-73.89684289086172,2.0,30.0,300.0,1.0,0.33,37,5.0,5.0,5.0,5.0,5.0,1,0,0,0,0,1,0,0,0
1000.0,40.7454139,-73.8982532,1.0,30.0,365.0,0.0,,365,,,,,,1,0,0,0,0,0,0,1,0
86.0,40.63739,-73.9363578,0.0,2.0,365.0,12.0,3.5,331,5.0,4.92,4.83,4.83,4.83,0,0,1,0,0,1,0,0,0
49.0,40.64479,-73.91455,1.0,30.0,31.0,177.0,5.61880000000001,90,4.69,4.7,4.8,4.81,4.53,0,0,1,0,0,1,0,0,0
75.0,40.8063,-73.95985,1.0,31.0,730.0,133.0,0.83,248,4.66,4.47,4.87,4.87,4.89,0,0,1,0,0,0,1,0,0
141.0,40.6892,-73.98101,0.0,30.0,150.0,13.0,0.43,65,4.85,5.0,5.0,4.77,5.0,1,0,0,0,0,1,0,0,0
1129.0,40.75706,-73.89671,2.0,30.0,90.0,82.0,1.06,365,4.96,5.0,4.99,4.98,4.82,1,0,0,0,0,0,0,1,0
45.0,40.64149,-73.93961,1.0,30.0,730.0,173.0,2.81,365,4.79,4.73,4.87,4.91,4.71,0,0,1,0,0,1,0,0,0
110.0,40.65211,-73.7545137,2.0,30.0,365.0,0.0,,245,,,,,,1,0,0,0,0,0,0,1,0
120.0,40.64303,-73.89208,1.0,30.0,90.0,4.0,0.19,365,3.25,3.5,3.25,3.5,3.5,1,0,0,0,0,1,0,0,0
75.0,40.80377985056735,-73.9643568930822,3.0,30.0,365.0,11.0,1.2,365,4.82,4.91,4.82,5.0,4.64,0,0,1,0,0,0,1,0,0
65.0,40.67976,-74.00631,1.0,30.0,365.0,21.0,0.2,155,4.71,4.43,4.81,4.9,4.43,0,0,1,0,0,1,0,0,0
